Date,Stadium,Home,Away
1/4/2019,TD Garden,Boston Celtics,Miami Heat
1/4/2019,Barclays Center,Brooklyn Nets,Milwaukee Bucks
1/4/2019,Madison Square Garden,New York Knicks,Chicago Bulls
1/4/2019,Scotiabank Arena,Toronto Raptors,Orlando Magic
1/4/2019,Target Center,Minnesota Timberwolves,Portland Trail Blazers
1/4/2019,American Airlines Center,Dallas Mavericks,Philadelphia 76ers
1/4/2019,Vivint Smart Home Arena,Utah Jazz,Charlotte Hornets
1/4/2019,Talking Stick Resort Arena,Phoenix Suns,Cleveland Cavaliers
2/4/2019,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers
2/4/2019,AT+ACY-T Center,San Antonio Spurs,Atlanta Hawks
2/4/2019,Golden 1 Center,Sacramento Kings,Houston Rockets
2/4/2019,ORACLE Arena,Golden State Warriors,Denver Nuggets
3/4/2019,Little Caesars Arena,Detroit Pistons,Indiana Pacers
3/4/2019,Amway Center,Orlando Magic,New York Knicks
3/4/2019,Capital One Arena,Washington Wizards,Chicago Bulls
3/4/2019,State Farm Arena,Atlanta Hawks,Philadelphia 76ers
3/4/2019,Barclays Center,Brooklyn Nets,Toronto Raptors
3/4/2019,AmericanAirlines Arena,Miami Heat,Boston Celtics
3/4/2019,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets
3/4/2019,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves
3/4/2019,Pepsi Center,Denver Nuggets,San Antonio Spurs
3/4/2019,Talking Stick Resort Arena,Phoenix Suns,Utah Jazz
3/4/2019,Moda Center,Portland Trail Blazers,Memphis Grizzlies
3/4/2019,Staples Center,LA Clippers,Houston Rockets
4/4/2019,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks
4/4/2019,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers
4/4/2019,Staples Center,Los Angeles Lakers,Golden State Warriors
5/4/2019,Spectrum Center,Charlotte Hornets,Toronto Raptors
5/4/2019,Amway Center,Orlando Magic,Atlanta Hawks
5/4/2019,Capital One Arena,Washington Wizards,San Antonio Spurs
5/4/2019,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics
5/4/2019,Toyota Center,Houston Rockets,New York Knicks
5/4/2019,Target Center,Minnesota Timberwolves,Miami Heat
5/4/2019,Chesapeake Energy Arena,Oklahoma City Thunder,Detroit Pistons
5/4/2019,American Airlines Center,Dallas Mavericks,Memphis Grizzlies
5/4/2019,Vivint Smart Home Arena,Utah Jazz,Sacramento Kings
5/4/2019,Talking Stick Resort Arena,Phoenix Suns,New Orleans Pelicans
5/4/2019,Pepsi Center,Denver Nuggets,Portland Trail Blazers
5/4/2019,ORACLE Arena,Golden State Warriors,Cleveland Cavaliers
5/4/2019,Staples Center,LA Clippers,Los Angeles Lakers
6/4/2019,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets
6/4/2019,United Center,Chicago Bulls,Philadelphia 76ers
7/4/2019,Scotiabank Arena,Toronto Raptors,Miami Heat
7/4/2019,Quicken Loans Arena,Cleveland Cavaliers,San Antonio Spurs
7/4/2019,Target Center,Minnesota Timberwolves,Oklahoma City Thunder
7/4/2019,Little Caesars Arena,Detroit Pistons,Charlotte Hornets
7/4/2019,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets
7/4/2019,FedExForum,Memphis Grizzlies,Dallas Mavericks
7/4/2019,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks
7/4/2019,Toyota Center,Houston Rockets,Phoenix Suns
7/4/2019,TD Garden,Boston Celtics,Orlando Magic
7/4/2019,Madison Square Garden,New York Knicks,Washington Wizards
7/4/2019,ORACLE Arena,Golden State Warriors,LA Clippers
7/4/2019,Moda Center,Portland Trail Blazers,Denver Nuggets
7/4/2019,Golden 1 Center,Sacramento Kings,New Orleans Pelicans
7/4/2019,Staples Center,Los Angeles Lakers,Utah Jazz
9/4/2019,Quicken Loans Arena,Cleveland Cavaliers,Charlotte Hornets
9/4/2019,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies
9/4/2019,Capital One Arena,Washington Wizards,Boston Celtics
9/4/2019,AmericanAirlines Arena,Miami Heat,Philadelphia 76ers
9/4/2019,United Center,Chicago Bulls,New York Knicks
9/4/2019,Target Center,Minnesota Timberwolves,Toronto Raptors
9/4/2019,Smoothie King Center,New Orleans Pelicans,Golden State Warriors
9/4/2019,American Airlines Center,Dallas Mavericks,Phoenix Suns
9/4/2019,Vivint Smart Home Arena,Utah Jazz,Denver Nuggets
9/4/2019,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets
9/4/2019,Staples Center,Los Angeles Lakers,Portland Trail Blazers
10/4/2019,State Farm Arena,Atlanta Hawks,Indiana Pacers
10/4/2019,Barclays Center,Brooklyn Nets,Miami Heat
10/4/2019,Spectrum Center,Charlotte Hornets,Orlando Magic
10/4/2019,Madison Square Garden,New York Knicks,Detroit Pistons
10/4/2019,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls
10/4/2019,FedExForum,Memphis Grizzlies,Golden State Warriors
10/4/2019,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder
10/4/2019,AT+ACY-T Center,San Antonio Spurs,Dallas Mavericks
10/4/2019,Pepsi Center,Denver Nuggets,Minnesota Timberwolves
10/4/2019,Staples Center,LA Clippers,Utah Jazz
10/4/2019,Moda Center,Portland Trail Blazers,Sacramento Kings
