2,1/4/2019,Barclays Center,Brooklyn Nets,Milwaukee Bucks,test
3,1/4/2019,Madison Square Garden,New York Knicks,Chicago Bulls,
4,1/4/2019,Scotiabank Arena,Toronto Raptors,Orlando Magic,
5,1/4/2019,Target Center,Minnesota Timberwolves,Portland Trail Blazers,
6,1/4/2019,American Airlines Center,Dallas Mavericks,Philadelphia 76ers,
7,1/4/2019,Vivint Smart Home Arena,Utah Jazz,Charlotte Hornets,
8,1/4/2019,Talking Stick Resort Arena,Phoenix Suns,Cleveland Cavaliers,
9,2/4/2019,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,
10,2/4/2019,AT+ACY-T Center,San Antonio Spurs,Atlanta Hawks,
11,2/4/2019,Golden 1 Center,Sacramento Kings,Houston Rockets,
12,2/4/2019,ORACLE Arena,Golden State Warriors,Denver Nuggets,
13,3/4/2019,Little Caesars Arena,Detroit Pistons,Indiana Pacers,
14,3/4/2019,Amway Center,Orlando Magic,New York Knicks,
15,3/4/2019,Capital One Arena,Washington Wizards,Chicago Bulls,
16,3/4/2019,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,
17,3/4/2019,Barclays Center,Brooklyn Nets,Toronto Raptors,
18,3/4/2019,AmericanAirlines Arena,Miami Heat,Boston Celtics,
19,3/4/2019,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets,
20,3/4/2019,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,
21,3/4/2019,Pepsi Center,Denver Nuggets,San Antonio Spurs,
22,3/4/2019,Talking Stick Resort Arena,Phoenix Suns,Utah Jazz,
23,3/4/2019,Moda Center,Portland Trail Blazers,Memphis Grizzlies,
24,3/4/2019,Staples Center,LA Clippers,Houston Rockets,
25,4/4/2019,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,
26,4/4/2019,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,
27,4/4/2019,Staples Center,Los Angeles Lakers,Golden State Warriors,
28,5/4/2019,Spectrum Center,Charlotte Hornets,Toronto Raptors,
29,5/4/2019,Amway Center,Orlando Magic,Atlanta Hawks,
30,5/4/2019,Capital One Arena,Washington Wizards,San Antonio Spurs,
31,5/4/2019,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,
32,5/4/2019,Toyota Center,Houston Rockets,New York Knicks,
33,5/4/2019,Target Center,Minnesota Timberwolves,Miami Heat,
34,5/4/2019,Chesapeake Energy Arena,Oklahoma City Thunder,Detroit Pistons,
35,5/4/2019,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,
36,5/4/2019,Vivint Smart Home Arena,Utah Jazz,Sacramento Kings,
37,5/4/2019,Talking Stick Resort Arena,Phoenix Suns,New Orleans Pelicans,
38,5/4/2019,Pepsi Center,Denver Nuggets,Portland Trail Blazers,
39,5/4/2019,ORACLE Arena,Golden State Warriors,Cleveland Cavaliers,
40,5/4/2019,Staples Center,LA Clippers,Los Angeles Lakers,
41,6/4/2019,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,
42,6/4/2019,United Center,Chicago Bulls,Philadelphia 76ers,
43,7/4/2019,Scotiabank Arena,Toronto Raptors,Miami Heat,
44,7/4/2019,Quicken Loans Arena,Cleveland Cavaliers,San Antonio Spurs,
45,7/4/2019,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,
46,7/4/2019,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,
47,7/4/2019,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,
48,7/4/2019,FedExForum,Memphis Grizzlies,Dallas Mavericks,
49,7/4/2019,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,
50,7/4/2019,Toyota Center,Houston Rockets,Phoenix Suns,
51,7/4/2019,TD Garden,Boston Celtics,Orlando Magic,
52,7/4/2019,Madison Square Garden,New York Knicks,Washington Wizards,
53,7/4/2019,ORACLE Arena,Golden State Warriors,LA Clippers,
54,7/4/2019,Moda Center,Portland Trail Blazers,Denver Nuggets,
55,7/4/2019,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,
56,7/4/2019,Staples Center,Los Angeles Lakers,Utah Jazz,
57,9/4/2019,Quicken Loans Arena,Cleveland Cavaliers,Charlotte Hornets,
58,9/4/2019,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies,
59,9/4/2019,Capital One Arena,Washington Wizards,Boston Celtics,
60,9/4/2019,AmericanAirlines Arena,Miami Heat,Philadelphia 76ers,
61,9/4/2019,United Center,Chicago Bulls,New York Knicks,
62,9/4/2019,Target Center,Minnesota Timberwolves,Toronto Raptors,
63,9/4/2019,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,
64,9/4/2019,American Airlines Center,Dallas Mavericks,Phoenix Suns,
65,9/4/2019,Vivint Smart Home Arena,Utah Jazz,Denver Nuggets,
66,9/4/2019,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets,
67,9/4/2019,Staples Center,Los Angeles Lakers,Portland Trail Blazers,
68,10/4/2019,State Farm Arena,Atlanta Hawks,Indiana Pacers,
69,10/4/2019,Barclays Center,Brooklyn Nets,Miami Heat,
70,10/4/2019,Spectrum Center,Charlotte Hornets,Orlando Magic,
71,10/4/2019,Madison Square Garden,New York Knicks,Detroit Pistons,
72,10/4/2019,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,
73,10/4/2019,FedExForum,Memphis Grizzlies,Golden State Warriors,
74,10/4/2019,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,
75,10/4/2019,AT+ACY-T Center,San Antonio Spurs,Dallas Mavericks,
76,10/4/2019,Pepsi Center,Denver Nuggets,Minnesota Timberwolves,
77,10/4/2019,Staples Center,LA Clippers,Utah Jazz,
78,10/4/2019,Moda Center,Portland Trail Blazers,Sacramento Kings,
